,app_name,bundle,description,genres,os_platform,lang_code,description_keyword_list,keyword-1,keyword-2,keyword-3,keyword-4,keyword-5,keyword-6,keyword-7,keyword-8,keyword-9,keyword-10
0,Easy Menu Planner,1381248589,"Easy Menu Planner helps you plan your meal throughout the week.

The app will also generate a shop list for the week, automatically. You will save money, buying only the items you need.

The app is very easy to use. It helps you organise your week without effort, so you can think in other things.

It doesn't include recipes you have to learn. Instead of it, the app focuses in organizing the dishes you already know how to prepare.

The app includes some common predefined dishes, and you can edit them or enhance the repertory adding your own dishes.

You can synchronize your data (dishes, shopping list...) across all your devices.","['Food & Drink', 'Lifestyle']",IOS,en,"['dish', 'week', 'list', 'repertory', 'dishes', 'organise', 'organizing', 'meal', 'planner', 'throughout']",dish,week,list,repertory,dishes,organise,organizing,meal,planner,throughout
1,Flappy Slither 3D - Color Worm Rush,1225417512,"Enjoy slithering!

Eat to grow bigger! don't hit bigger snake!

Can you become the biggest of the day?","['Games_Casual', 'Entertainment', 'Games_Music']",IOS,en,"['bigger', 'slithering', 'snake', 'biggest', 'eat', 'grow', 'hit', 'become', 'day', 'enjoy']",bigger,slithering,snake,biggest,eat,grow,hit,become,day,enjoy
2,"Pic Collage Maker - Foto Editor, Photo Grid Free",1133490965,"Pic Collage Maker - BEST photo collage maker! Make perfect pic collages of all your wonderful moments and memories! 

Easily understood and simple to use! Combine from 2 to 9 favorite shots into a single pic, transform, change, adjust and reshape any way you like! Choose from TONS of trendy template designs and photo collage styles to TELL YOUR STORY with one creatively framed picture! Decorate with beautiful effects, stickers, frames, colorful patterns and designs in the most quickest and artful ways! 

===== Features:

• 100+ fixed templates & fully adjustable layout options. Up to 9 picture slots! Find you perfect fit! 
• Super easy, super flexible, super fun! Create a story with photos! 
• Just pick a layout and put your photos in! 
• Many adjustable frames (resize each frame area for unlimited customization)
• Change the border width
• Square format and 3:2, 2:3, 4:3, 3:4, 16:9, 9:16 ratios
• Zoom, pan, rotate or mirror each photo
• Select multiple photos at once
• Simple touch gestures to rotate, resize, flip or delete
• Edit photo with many photo effects and filters

• Easy color picker for the frames background
• Lots of backgrounds to choose!

• Share your creations to Instagram, Facebook, Twitter.

What are you waiting for? Try Pic Collage Maker - Create the cutest Collage now and impress your friends with your cutest grid photo!

===== Love Pic Collageable:
If you enjoy using Pic Collage Maker, would you mind taking a moment to rate it? Share and reviews for apps. Thanks for your support. <3 <3 <3

===== Pic Collageable Contacts: 
Please follow us on:
Facebook：https://www.facebook.com/Cheepapps-684007881726733
Email: cheepapps@gmail.com",['Photo & Video'],IOS,en,"['collage', 'pic', 'photo', 'maker', 'frame', 'cutest', 'collageable', 'cheepapps', 'resize', 'adjustable']",collage,pic,photo,maker,frame,cutest,collageable,cheepapps,resize,adjustable
3,Alpha Spider Solitaire - Unlimited FreeCell plus Spades Saga,1003723487,"Spider Solitaire is a game that requires your intelligence and patience! You can play it anywhere at any time to entertain and challenge yourself.

Its goal is to place 2 decks of cards in suit from King to Ace. You can either play the easy 1-suit (Easy) games, or challenge the 2-suit (Medium) and 4-suit (Hard) ones. They will surely bring you a great sense of achievement and endless fun!

Features:
-Three different levels of difficulty
-Amazing achievement list 
-Multiple stunning backgrounds
-Special coins system
-Unlimited hints and undo
-Clear explanation of rules
-Delightful music & sound effect
-Simple page & operational ease","['Games_Casino', 'Games_Card']",IOS,en,"['suit', 'achievement', 'delightful', 'challenge', 'entertain', 'operational', 'ace', 'deck', 'sense', 'patience']",suit,achievement,delightful,challenge,entertain,operational,ace,deck,sense,patience
4,"Coloring Book for Baby: Car, Doodle & Jigsaw Games",1129702780,"Super-simple,  FREE, Suitable for children 2-5 years old baby, Interesting Tu Tu painting, Fun jigsaw puzzle.

Coloring and drawing:
By graphic outline rendering Car coloring game, Promote hand-eye coordination, Support children baby spontaneous artistic expression and creation.
Doodle:
Let the baby with paint Doodle, To express their rich imagination and emotion.
Jigsaw:
The most simple puzzle game, Left and right brain development early childhood baby intelligence.","['Books', 'Education']",IOS,en,"['baby', 'tu', 'jigsaw', 'doodle', 'coloring', 'child', 'puzzle', 'spontaneous', 'outline', 'coordination']",baby,tu,jigsaw,doodle,coloring,child,puzzle,spontaneous,outline,coordination
5,Cam Scanner-Doc Scanner & OCR,1123957288,"Scan all your documents with iOS devices, even if they are curled. 

Features:

*Mobile Scanner
Use your phone camera to scan receipts, notes, invoices, whiteboard discussions, business cards, certificates, etc.

*Optimize Scan Quality
Smart cropping and auto enhancing make the texts and graphics look clear and sharp. 

*Extract Texts from Image
OCR (optical character recognition) feature extracts texts from single page for further editing or sharing.

*Share PDF/JPEG Files
Easily share documents in PDF or JPEG format with others via social media, email attachment.

Your feedbacks are very important to us. 
Please contact us at support@sheliyainfotech.com for resolving problems before submitting feedback in the app store. Most problems can be solved easily, but we cannot help you solve problems from the comments.","['Productivity', 'Utilities']",IOS,en,"['scan', 'extract', 'jpeg', 'problem', 'pdf', 'document', 'text', 'feedback', 'curled', 'invoice']",scan,extract,jpeg,problem,pdf,document,text,feedback,curled,invoice
6,For Whatsapp - Funny gif gifs,1045586551,"giflie is the best gif searcher and gif maker ever!

giflie is the best free modern gif maker and searcher, this app will let you give your pictures another special look by making them animated, or simply you can search on our different categories to find the best gif you are looking for, all our gifs are unlimited, beautiful and free. We offer numerous professionally designed gifs for you. You can also share them with your friends on Facebook in an easy tap. 

Why choose you use ""Gif maker gif pro"" Instead of other video gif maker apps?

•	Easy : 
- Very Easy Interface where you can see our categories and then you can see the gif in a full screen once you click on it. 
- Free to install.

•	Free :
- Our gif maker app is FREE and it will stay Free for life, so there is No hidden fees or special members to messaging, No annual subscription fees. 

•	Wide selection of gifs : 
- We have many many gifs, so we guarantee that you will find anyone you are looking for only on our app.
- We have many categories, from accidents to animals, cars, cats, celebrities, girls, kids, slow-motion, sports, tricks and many more! You will not find all that elsewhere. 

•	Create Gif :
- If you want to create your own personalized gifs, you can do it easily with our video gif maker app. you need just to tap Create gif tap, pick image and you will have the possibility to take a new photo or import it from your gallery!

•	Favorites :
- If you like one of our gifs, you can simply add it to your favorites, so that you will not need to search it again, you'll find it with one tap.

•	Facebook Sharing :
- You can share your desired gif with your Facebook Friends in a second!

•	Keywords Search :
- We give you the right to search any gif from our database with your desired keywords without searching for them in the categories!

What are you waiting for ? Download our app and enjoy the best free Gifs, and try to make a gif!","['Entertainment', 'Photo & Video']",IOS,en,"['gif', 'gifs', 'maker', 'category', 'search', 'giflie', 'searcher', 'tap', 'free', 'fee']",gif,gifs,maker,category,search,giflie,searcher,tap,free,fee
7,Grand Battle Royale: Pixel FPS,1340165829,"Grand Battle Royale Season 2018! If you like military blocky pixel games and battle royale games then you will definitely like Grand Battle Royale!

BATTLE in online multiplayer games when you play the new massive open world game! Survive the battlegrounds, improve your shooting skills, and develop new PVP tactics for FREE!
Jump out of the survival plane on the dead island, find the best loot, kill the enemies. Players are spread around the island unarmed and must find and use various weapons and items to eliminate opponents. Find the best weapons you can: Assault Rifle, pixel gun, smg, shotguns and other weapons. Dominate the battlefield by taking on each opponent and become last survivor #1! Grab your pixel gun and get shooting! 

This game have 3 game modes:

BATTLE ROYALE 
The location of the battlegrounds is a distant island with dead city somewhere in the sea surrounded with a mysterious Blue Zone. Your main task is to stay inside the safe zone and eliminate all your enemies. 

HIDE AND SEEK
Players on one team hide as a Prop from other players in any room or try to escape! Simply swap and become any kind of hidden object — a bottle, a chair, a toaster, or even a fridge. Hunt the hidden props as a Hunter by finding and shooting at them! Action-shooter gameplay in popular Prop Hunt genre. 

INFECTION
Zombies vs Humans. In Infected (zombie infection), one player starts as the zombie and has to kill the rest of other players. If you are killed by a zombie, you also become a zombie, and you have to kill the other players. Last man standing wins the game! 

Features: 
• Small download size without additional downloads after install.
• There is no fake-bots players, only real online players. 
• it runs smoothly and does not overheat your device.
• Pixel Graphics & Blocky Characters: Battle as hilarious blocky characters and show your style of gameplay.
• Survive gun games against other players!
• Battle in Online Multiplayer Games: Intense PVP gameplay against players around the world!
• Guns will randomly appear, so search the ground thoroughly! Survive by collecting more guns so you have an advantage over other players.
• Just like in true 3D block city survival games, you can purchase any pixel block strike skins.
• Grab a pixel gun and dive into battle: Fun pixel graphics great for intense shooting battles!
• Big radiation island this is the place where you have to survive while you plaiyng in the block city. 
• Multiplayer game is absolutely free online game for download. 

Become the last man standing, the last hero, the king of the battlefield! Good luck, good hunt!
This game requires an internet connection.
Don’t miss out on the latest news:
Join us on Facebook: https://facebook.com/groups/grandbattleroyale/
Follow us on Twitter: https://twitter.com/GameSpire_org","['Games_Action', 'Games_Casual']",IOS,en,"['pixel', 'battle', 'player', 'gun', 'zombie', 'game', 'royale', 'island', 'blocky', 'survive']",pixel,battle,player,gun,zombie,game,royale,island,blocky,survive
8,Body Temperature Detector.,1125601818,"Do you want to have fun with your friends? Do you want to prank them by showing their fake body temperature for entertainment? Then Body Temperature Detector might application will serve your purpose. Mock your friends by showing them their fake body temperature.

Body Temperature Detector is a prank application that shows fake body temperature but it is an excellent app and can provide a lot of entertainment. You can prank your friends or cliques by showing them their fake body temperature.

Disclaimer:
This app is just prank scanner to calculate your body Temperature and should be used only for entertainment purposes. The authors of this app don’t take any responsibility on behalf of user’s acts and advises them to use it for entertainment only.

HOW TO USE:

Step 1: Select your gender and tap on next.

Step 2: Now place your finger gently on the fingerprint scanning pad and wait for the analysis.

Result: Your Fake Body Temperature will be shown automatically after calculation.

Note : Body Temperature Detector is a prank and fake application and it is not capable to measure the Temperature of a human body, all the readings that are used in this app are fake and randomly generated by the application. It is developed for entertainment purposes only.",['Entertainment'],IOS,en,"['temperature', 'body', 'fake', 'prank', 'entertainment', 'detector', 'showing', 'purpose', 'application', 'step']",temperature,body,fake,prank,entertainment,detector,showing,purpose,application,step
9,MediaCloud - Get Streaming Music & Video Player,737311241,"Save space on a device, have instant access to your audio files,video files anywhere (Dropbox®, Google Drive®, Box, OneDrive®).

Listen to your music, audiobooks and play videos directly from the cloud !

If you've got large iTunes music library this music player is the perfect solution to access your favorite songs and entire music library - without taking up any extra device space and synchronization hassle.

Once you moved your music collection to the cloud, MediaCloud connects to any of your cloud including DropBox, Google Drive, Box, OneDrive and streams your music or video directly from there.

Features
・ plays mp3, aac, m4a, wav, aiff, m4r, mp4, caf, mov, avi
・ create playlists from music in multiple cloud services
・ favorite folders for fast access
・ gesture control in the player
・ narration speed control and bookmark for audiobooks listening
・ single universal app for iPhone and iPad","['Music', 'Photo & Video']",IOS,en,"['music', 'cloud', 'audiobooks', 'onedrive', 'dropbox', 'access', 'library', 'box', 'video', 'mp']",music,cloud,audiobooks,onedrive,dropbox,access,library,box,video,mp
